FICHIER :;e:\mesures_comax\essai1.eposacq
Date :;15/11/2016
Heure :;17:35:48

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en PROFIL de POSITION avec échelon de 250.00 mm.
73 mesures avec période de 13.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Courant Moteur;Position Moteur;Vitesse Moteur;Consigne de Vitesse;
;ms;;mA;qc;rpm;rpm;
         0;       0,0;;      2524;      5871;         0;         0;
         1;      13,0;;      2524;      5871;         0;         0;
         2;      26,0;;      2524;      5871;         0;         0;
         3;      39,0;;      2524;      5871;         0;         0;
         4;      52,0;;      2524;      5871;         0;         0;
         5;      65,0;;      2523;      5871;         0;         0;
         6;      78,0;;      2524;      5871;         0;         0;
         7;      91,0;;      2781;      5871;         0;        80;
         8;     104,0;;      5196;      5941;        54;       340;
         9;     117,0;;      5590;      6135;       188;       600;
        10;     130,0;;      5504;      6451;       371;       861;
        11;     143,0;;      5782;      6878;       579;      1121;
        12;     156,0;;      5749;      7420;       806;      1381;
        13;     169,0;;      5584;      8075;      1045;      1641;
        14;     182,0;;      5566;      8840;      1289;      1901;
        15;     195,0;;      5686;      9718;      1539;      2161;
        16;     208,0;;      5233;     10709;      1791;      2422;
        17;     221,0;;      4931;     11812;      2047;      2682;
        18;     234,0;;      5264;     13023;      2300;      2942;
        19;     247,0;;      4953;     14349;      2557;      3202;
        20;     260,0;;      5461;     15785;      2813;      3462;
        21;     273,0;;      5515;     17334;      3071;      3723;
        22;     286,0;;      5686;     18997;      3331;      3983;
        23;     299,0;;      5343;     20775;      3592;      4243;
        24;     312,0;;      5437;     22666;      3853;      4503;
        25;     325,0;;      5250;     24670;      4115;      4763;
        26;     338,0;;      5141;     26788;      4376;      5003;
        27;     351,0;;      3265;     28966;      4597;      5003;
        28;     364,0;;      3685;     31135;      4734;      5003;
        29;     377,0;;      3941;     33299;      4822;      5003;
        30;     390,0;;      3651;     35465;      4881;      5003;
        31;     403,0;;      3835;     37628;      4919;      5003;
        32;     416,0;;      4300;     39793;      4944;      5003;
        33;     429,0;;      4114;     41960;      4963;      5003;
        34;     442,0;;      4342;     44126;      4975;      5003;
        35;     455,0;;      4470;     46293;      4984;      5003;
        36;     468,0;;      3965;     48464;      4993;      5003;
        37;     481,0;;      3981;     50635;      4998;      5003;
        38;     494,0;;      3624;     52805;      5002;      5003;
        39;     507,0;;      3596;     54974;      5003;      5003;
        40;     520,0;;      3549;     57141;      5003;      5003;
        41;     533,0;;      3013;     59305;      4999;      4883;
        42;     546,0;;      2372;     61373;      4923;      4623;
        43;     559,0;;      2496;     63323;      4779;      4363;
        44;     572,0;;      2410;     65161;      4596;      4103;
        45;     585,0;;      2134;     66888;      4390;      3843;
        46;     598,0;;      1864;     68502;      4164;      3582;
        47;     611,0;;      1868;     70002;      3927;      3322;
        48;     624,0;;      2209;     71387;      3680;      3062;
        49;     637,0;;      1943;     72662;      3429;      2802;
        50;     650,0;;      1914;     73825;      3177;      2542;
        51;     663,0;;      2377;     74871;      2919;      2282;
        52;     676,0;;      2247;     75810;      2665;      2021;
        53;     689,0;;      2156;     76634;      2406;      1761;
        54;     702,0;;      2369;     77347;      2149;      1501;
        55;     715,0;;      1934;     77949;      1891;      1241;
        56;     728,0;;      1870;     78437;      1632;       981;
        57;     741,0;;      1775;     78811;      1372;       720;
        58;     754,0;;      1814;     79071;      1111;       460;
        59;     767,0;;      1949;     79217;       849;       200;
        60;     780,0;;      1874;     79254;       590;         0;
        61;     793,0;;      2468;     79251;       388;         0;
        62;     806,0;;      2509;     79251;       257;         0;
        63;     819,0;;      2589;     79251;       170;         0;
        64;     832,0;;      2667;     79251;       113;         0;
        65;     845,0;;      2747;     79251;        75;         0;
        66;     858,0;;      2825;     79251;        49;         0;
        67;     871,0;;      2904;     79251;        33;         0;
        68;     884,0;;      2984;     79251;        22;         0;
        69;     897,0;;      3061;     79251;        14;         0;
        70;     910,0;;      3059;     79252;        10;         0;
        71;     923,0;;      3114;     79252;         7;         0;
        72;     936,0;;      3170;     79252;         5;         0;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;1000;1000;1000;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

