FICHIER :;e:\mesures_comax\essai_4masses.eposacq
Date :;15/11/2016
Heure :;17:37:52

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en PROFIL de POSITION avec échelon de 250.00 mm.
73 mesures avec période de 13.3 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Courant Moteur;Position Moteur;Vitesse Moteur;Consigne de Vitesse;
;ms;;mA;qc;rpm;rpm;
         0;       0,0;;      3842;      5871;         0;         0;
         1;      13,3;;      3842;      5871;         0;         0;
         2;      26,6;;      3842;      5871;         0;         0;
         3;      39,9;;      3841;      5871;         0;         0;
         4;      53,2;;      3841;      5871;         0;         0;
         5;      66,5;;      3842;      5871;         0;         0;
         6;      79,8;;      3842;      5871;         0;         0;
         7;      93,1;;      4319;      5872;         1;       100;
         8;     106,4;;      6071;      5955;        64;       360;
         9;     119,7;;      6703;      6167;       202;       620;
        10;     133,0;;      6435;      6502;       402;       901;
        11;     146,3;;      6838;      6956;       613;      1161;
        12;     159,6;;      6797;      7529;       842;      1421;
        13;     172,9;;      6715;      8218;      1080;      1681;
        14;     186,2;;      6899;      9025;      1345;      1961;
        15;     199,5;;      6762;      9950;      1595;      2222;
        16;     212,8;;      6677;     10991;      1848;      2482;
        17;     226,1;;      6376;     12153;      2125;      2762;
        18;     239,4;;      6266;     13431;      2381;      3022;
        19;     252,7;;      6031;     14826;      2639;      3282;
        20;     266,0;;      5600;     16339;      2917;      3562;
        21;     279,3;;      5958;     17967;      3174;      3823;
        22;     292,6;;      6328;     19713;      3432;      4083;
        23;     305,9;;      6395;     21576;      3689;      4343;
        24;     319,2;;      6752;     23557;      3967;      4623;
        25;     332,5;;      6751;     25660;      4229;      4883;
        26;     345,8;;      5785;     27870;      4484;      5003;
        27;     359,1;;      5229;     30094;      4676;      5003;
        28;     372,4;;      5133;     32314;      4787;      5003;
        29;     385,7;;      4731;     34533;      4861;      5003;
        30;     399,0;;      4316;     36751;      4912;      5003;
        31;     412,3;;      4154;     38970;      4945;      5003;
        32;     425,6;;      3970;     41188;      4964;      5003;
        33;     438,9;;      4038;     43404;      4975;      5003;
        34;     452,2;;      3936;     45620;      4984;      5003;
        35;     465,5;;      4076;     47834;      4988;      5003;
        36;     478,8;;      4738;     50047;      4989;      5003;
        37;     492,1;;      4780;     52262;      4992;      5003;
        38;     505,4;;      5183;     54478;      4995;      5003;
        39;     518,7;;      5396;     56696;      4998;      5003;
        40;     532,0;;      5159;     58916;      5001;      4923;
        41;     545,3;;      3505;     61062;      4946;      4663;
        42;     558,6;;      3102;     63080;      4813;      4403;
        43;     571,9;;      2699;     64979;      4636;      4143;
        44;     585,2;;      2048;     66758;      4415;      3863;
        45;     598,5;;      1633;     68418;      4188;      3602;
        46;     611,8;;      1588;     69956;      3947;      3342;
        47;     625,1;;      1984;     71373;      3678;      3062;
        48;     638,4;;      1948;     72673;      3425;      2802;
        49;     651,7;;      2216;     73856;      3171;      2542;
        50;     665,0;;      3261;     74917;      2891;      2262;
        51;     678,3;;      3110;     75868;      2638;      2001;
        52;     691,6;;      3756;     76699;      2381;      1741;
        53;     704,9;;      3690;     77418;      2126;      1481;
        54;     718,2;;      3309;     78021;      1852;      1201;
        55;     731,5;;      2975;     78506;      1597;       941;
        56;     744,8;;      2575;     78873;      1339;       680;
        57;     758,1;;      2030;     79121;      1060;       400;
        58;     771,4;;      1704;     79249;       798;       140;
        59;     784,7;;      2148;     79263;       539;         0;
        60;     798,0;;      2029;     79261;       344;         0;
        61;     811,3;;      2092;     79257;       224;         0;
        62;     824,6;;      2802;     79251;       144;         0;
        63;     837,9;;      3186;     79245;        91;         0;
        64;     851,2;;      3663;     79242;        56;         0;
        65;     864,5;;      3976;     79241;        36;         0;
        66;     877,8;;      4264;     79241;        24;         0;
        67;     891,1;;      4615;     79242;        16;         0;
        68;     904,4;;      4682;     79243;        12;         0;
        69;     917,7;;      4395;     79248;        12;         0;
        70;     931,0;;      3905;     79256;        14;         0;
        71;     944,3;;      3498;     79261;        13;         0;
        72;     957,6;;      3401;     79262;         9;         0;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;1000;1000;1000;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

